Food,category,meal_type,food_type,diet_type,energy,protein,carbs,fat,fiber,sugars,sodium,is_leafy_green,is_alcohol,quantity,image
Chicken Macaroni ,Meal/Pasta,Breakfast,main,veg,350,10,40,17,2,5,750,0,0,1 cup,/static/foods/Chicken Macaroni.webp
Tomato Soup ,Meal/Vegetable,Dinner,main,veg,170,4,25,6,4,15,900,0,0,1 cup,/static/foods/Tomato Soup .jpg
Grilled Cheese Sandwich,Meal/Processed,Breakfast,side,non_veg,390,15,32,22,3,4,800,0,0,1,/static/foods/Grilled Cheese Sandwich.jpg
Beef Tacos ,Meal/Meat,Dinner,side,non_veg,380,18,28,22,5,3,600,0,0,2 hard shell,/static/foods/Beef Tacos.jpg
Refried Beans ,Legume,Dinner,side,veg,115,7,19,1,6,1,480,0,0,1/2 cup,/static/foods/Refried Beans.jpg 
Guacamole,Vegetable/Condiment,Dinner,main,veg,90,1,4,8,3,0.5,120,0,0,1/4 cup,/static/foods/Guacamole.jpg
Clam Chowder ,Meal/Seafood,Breakfast,main,non_veg,200,10,18,9,1,2,870,0,0,1 cup,/static/foods/Clam Chowder .webp
Iced Tea ,Beverage,Dinner,side,veg,180,0,46,0,0,46,15,0,0,1 Glass,/static/foods/Iced Tea.avif
Garlic Bread ,Grain,Breakfast,main,veg,150,4,18,7,1,1,310,0,0,1 Slice,/static/foods/Garlic Bread .jpg
Chocolate Milk ,Beverage/Dairy,Breakfast,side,veg,200,8,26,8,1,24,160,0,0,1 Glass,/static/foods/Chocolate Milk.jpg
Potato Chips ,Snack/Processed,Breakfast,side,veg,160,2,15,10,1,0.5,170,0,0,1 cup,/static/foods/Potato Chips .jpg
Caprese Salad,Meal/Vegetable,Lunch,side,veg,240,10,8,18,2,5,350,0,0,1 cup,/static/foods/Caprese Salad.jpg
Cherries ,Fruit,Breakfast,side,veg,77,1.6,19,0.5,2.5,15,0,0,0,1 cup,/static/foods/Cherries .webp
Turkey Bacon ,Protein/Meat,Dinner,side,non_veg,70,6,1,5,0,0.5,360,0,0,2 Slices,/static/foods/Turkey Sandwich.jpg
Grits ,Grain,Breakfast,main,veg,150,3,32,1,2,0.5,320,0,0,1 cup,/static/foods/Grits .jpg
Kiwifruit ,Fruit,Breakfast,side,veg,46,0.9,11.1,0.4,2.3,6.7,2,0,0,1 Medium,/static/foods/Kiwifruit .webp
Beef Jerky ,Snack/Processed,Dinner,side,non_veg,116,9.4,3.1,7.2,0.5,2.5,590,0,0,1 cup,/static/foods/Beef Jerky .jpg
Figs ,Fruit,Breakfast,side,veg,74,0.6,19.2,0.3,2.9,16.2,2,0,0,2 Medium,/static/foods/Figs .jpg
Lobster ,Protein/Seafood,Dinner,side,non_veg,76,16,0,0.7,0,0,250,0,0,1 cup,/static/foods/Lobster.webp 
Corn on the Cob ,Vegetable,Breakfast,main,veg,125,5,29,1.5,3,5,2,0,0,1 Large,/static/foods/Corn on the Cob .jpg
French Onion Soup ,Meal,Lunch,side,veg,150,6,15,7,2,5,800,0,0,1 cup,/static/foods/French Onion Soup .webp
Seaweed Salad ,Vegetable,Lunch,side,veg,60,2,8,3,2,4,350,0,0,1/2 cup,/static/foods/Seaweed Salad .jpg
Croutons,Grain,Breakfast,side,veg,50,1.5,7,2,0.5,0.5,140,0,0,1/4 cup,/static/foods/Croutons.jpg
Shepherd's Pie ,Meal/Meat,Dinner,main,non_veg,400,20,35,20,6,7,850,0,0,1 serving,/static/foods/Shepherd's Pie .jpg
Fried Halibut ,Protein/Fish,Dinner,main,non_veg,125,24,0,2.5,0,0,60,0,0,1,/static/foods/Fried Halibut .jpg
Lemonade ,Beverage,Dinner,side,veg,99,0.1,26,0,0.1,25,30,0,0,1 Glass,/static/foods/Lemonade .jpg
Pistachios ,Nut,Dinner,side,veg,159,5.7,7.7,12.8,3,2.2,2,0,0,1 oz shelled,/static/foods/Pistachios .avif
Oat Milk ,Beverage/Dairy-Alt,Breakfast,main,non_veg,120,3,16,5,2,7,100,0,0,1 cup,/static/foods/Oat Milk .jpg
